,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Transaction_ID,Timestamp,Amount,Merchant,Card_Type,Device,Is_Fraud,Estado,Tipo_Comercio,Uso_Internacional,Historial_Usuario
1,2025-01-30 05:23:00,46.93,Chavez PLC,Amex,Desktop,0,Baja California,Restaurante,0,27
2,2025-01-15 06:45:00,301.01,"Perez, Davila and Carter",Discover,Mobile,1,Nuevo León,Electrónica,0,26
3,2025-02-03 21:32:00,131.67,Freeman Inc,Amex,Mobile,1,Baja California,Turismo,0,42
4,2025-01-02 20:20:00,91.29,Rogers-Wright,Discover,Mobile,0,Sonora,Electrónica,0,35
5,2025-01-28 15:29:00,16.96,Wilson Group,Discover,Mobile,0,Puebla,Entretenimiento,0,47
6,2025-01-13 17:28:00,16.96,"Jimenez, Carlson and Thornton",Amex,Desktop,0,CDMX,Entretenimiento,0,37
7,2025-01-06 06:32:00,5.98,Byrd-Simpson,MasterCard,Desktop,0,Nuevo León,Entretenimiento,0,7
8,2025-01-23 12:41:00,201.12,"Curtis, Cooper and King",Discover,Desktop,0,Michoacán,Retail,0,15
9,2025-01-18 19:05:00,91.91,"Howard, Marshall and Bell",Amex,Desktop,0,Sonora,Entretenimiento,0,45
10,2025-01-18 18:47:00,123.13,Ellison-Gonzalez,Visa,Mobile,0,Sonora,Supermercado,0,50
11,2025-01-07 03:10:00,2.08,Kelley Group,Amex,Tablet,0,Jalisco,Servicios,0,18
12,2025-01-21 08:39:00,350.36,"Page, Griffin and Holder",Visa,Desktop,0,Tamaulipas,Retail,0,16
13,2025-02-03 03:59:00,178.64,Clark-Beard,Discover,Desktop,0,CDMX,Turismo,0,4
14,2025-01-27 07:24:00,23.87,"Allen, Bennett and Lewis",Amex,Mobile,0,Guanajuato,Retail,0,30
15,2025-02-04 07:16:00,20.07,Whitehead-Shields,Amex,Mobile,0,Coahuila,Supermercado,0,46
16,2025-01-20 08:51:00,20.26,"Gay, Patel and Chambers",Visa,Mobile,0,Veracruz,Electrónica,0,35
17,2025-01-10 04:00:00,36.28,Anderson Group,Amex,Mobile,0,Baja California,Supermercado,0,11
18,2025-01-14 23:44:00,74.39,Luna PLC,Amex,Tablet,0,Jalisco,Retail,0,11
19,2025-01-30 09:02:00,56.55,"Castro, Kemp and Bowen",Discover,Tablet,0,Puebla,Turismo,0,8
20,2025-02-02 17:36:00,34.42,Stuart and Sons,Amex,Desktop,0,Puebla,Restaurante,0,20
21,2025-01-29 21:31:00,94.64,Burgess-Perez,MasterCard,Tablet,0,EdoMex,Restaurante,0,6
22,2025-01-15 23:09:00,15.02,Brooks Inc,Visa,Desktop,0,Jalisco,Servicios,0,35
23,2025-02-02 14:33:00,34.55,Ramos Ltd,Amex,Desktop,0,EdoMex,Supermercado,0,33
24,2025-01-01 01:34:00,45.63,Potts-Casey,Visa,Tablet,0,Coahuila,Turismo,0,21
25,2025-01-11 17:02:00,60.89,"Cole, Jordan and Walker",Visa,Desktop,0,Coahuila,Servicios,0,9
26,2025-01-29 00:57:00,153.79,King Inc,Visa,Mobile,0,Baja California,Restaurante,0,46
27,2025-01-20 05:09:00,22.27,"Payne, Sandoval and Young",Amex,Desktop,0,Nuevo León,Retail,0,23
28,2025-01-03 23:18:00,72.2,Garcia Ltd,Amex,Mobile,0,Chihuahua,Servicios,0,36
29,2025-01-07 06:24:00,89.75,"Booth, Wallace and Richards",Visa,Tablet,0,Michoacán,Servicios,0,41
30,2025-01-27 23:13:00,4.76,Vargas-Morse,MasterCard,Tablet,0,Veracruz,Servicios,0,6
31,2025-01-03 03:27:00,93.53,"Newman, Olson and Smith",Visa,Desktop,0,Sonora,Supermercado,0,19
32,2025-01-03 02:12:00,18.7,"Miller, Washington and Hogan",MasterCard,Mobile,0,Puebla,Servicios,0,32
33,2025-01-11 14:36:00,6.73,Guzman Group,Visa,Desktop,0,EdoMex,Restaurante,0,16
34,2025-02-02 12:47:00,297.37,Chen LLC,Discover,Tablet,0,Nuevo León,Servicios,0,27
35,2025-01-10 04:15:00,337.06,Griffith-Fernandez,Visa,Desktop,0,Guanajuato,Entretenimiento,0,33
36,2025-01-29 13:01:00,165.23,Bennett and Sons,Visa,Desktop,0,Guanajuato,Electrónica,0,3
